Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Jamaica,152,179,242,322,391,369,358,396,365,269,279,305,334,297,275,287,298,314,309,325,306,347,363
Japan,2531,2345,2679,1504,1212,1150,3332,3639,4548,3932,4366,4536,4043,2872,4215,4000,5067,5283,6151,6828,8245,6134,4522
Jordan,197,193,194,227,272,349,402,479,472,502,605,550,685,535,675,597,570,673,637,575,393,532,522
Kazakhstan,122,203,365,651,1219,1893,2958,4212,3462,2934,3006,3409,3432,3386,3457,3181,2396,2691,2680,2660,2081,2585,2373
Kenya,0,5,6,7,34,56,25,16,64,61,19,26,15,16,171,35,18,20,11,3,8,9,11
Kiribati,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Korea,Rep,",3640,4487,5862,6806,6931,6899,7463,8019,7885,7492,9544,9980,9756,9403,9978,8720,10784,12888,13531,11232,9684,10339,8301
Kosovo,0,0,0,0,172,162,120,96,127,156,127,151,118,106,100,68,67,62,59,42,50,53,61
Kuwait,1734,1785,1926,2144,2404,2648,3183,9764,10323,11749,11864,13012,15459,17711,18128,15203,15288,13760,14347,18855,17357,18468,17744
KyrgyzRepublic,11,13,14,18,30,53,68,90,101,107,168,228,286,390,454,363,378,476,560,574,506,585,1224
LaoPDR,0,0,0,1,1,1,5,6,9,22,19,76,70,69,54,43,39,103,124,106,96,127,148
Latvia,132,142,4,5,9,17,25,41,791,571,315,358,338,376,292,273,234,203,239,239,175,398,620
Lebanon,0,0,2521,4081,4233,4012,3445,2962,4366,5749,4390,4377,4698,4949,4289,3675,4171,4453,5007,4335,2758,1907,1715
Liberia,0,0,0,0,0,0,0,0,0,1,301,307,435,395,364,340,357,316,339,251,150,132,127
Libya,463,683,786,676,975,914,945,762,964,1361,1609,650,1971,3199,1120,840,756,680,744,1082,924,900,0
Lithuania,38,29,31,42,280,259,426,567,652,680,552,1026,1135,852,905,589,584,548,617,602,366,403,568
Luxembourg*,2720,3139,4114,5120,6084,6742,7627,9368,11043,10759,10659,11775,11454,12419,12917,11233,11679,12694,14045,14103,14272,16558,16232
"MacaoSAR,China",0,0,123,120,146,233,441,792,1018,768,637,774,973,1283,1630,1949,2027,2041,2166,2325,2141,2049,2020
Madagascar,12,11,5,18,9,23,27,38,41,50,59,54,63,55,50,58,48,63,74,63,43,54,100
Malawi,0,1,0,7,7,7,7,10,10,13,15,17,18,16,19,20,8,12,15,32,37,36,0
Malaysia,599,634,3826,3464,5064,5679,5597,6388,6786,6529,8628,9422,8958,8982,10192,10483,10105,9394,10916,11398,9090,8635,9068
Maldives,46,50,51,55,62,70,84,189,219,190,189,240,260,266,301,348,376,475,532,596,397,496,557
Mali,26,23,30,58,64,69,57,83,105,168,176,129,111,134,148,133,160,155,207,206,205,235,0
Malta,8,8,9,12,376,192,223,259,1320,1864,1612,1108,1050,1108,1113,404,451,477,517,465,495,481,642
MarshallIslands,0,0,0,0,0,4,4,4,4,4,8,9,23,24,24,18,19,23,24,16,18,14,0
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,240,255,189,172,0,53,27,10,39,22,23
