Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Iceland,36,39,65,49,61,66,80,110,120,94,136,151,155,207,218,217,209,188,174,185,167,194,198,197
India,12883,14273,15736,20999,18750,22125,28334,37217,49977,49204,53480,62499,68821,69970,70389,68910,62744,68967,78790,83332,83149,89375,111222,125000
Indonesia,1190,1046,1259,1489,1866,5420,5722,6174,6794,6793,6916,6924,7212,7614,8551,9659,8907,8990,11215,11666,9651,9402,9960,11000
Iraq,0,0,0,0,0,711,389,3,71,152,177,223,271,727,729,1005,986,1089,742,859,644,840,840,879
Ireland,0,0,0,0,0,512,539,589,633,573,658,756,695,722,726,604,575,597,624,587,276,180,436,430
Israel(usingCBdata),2952,3393,3395,3132,3355,3736,3680,4402,4536,4619,4740,5074,4680,5688,6185,5890,6363,6194,5915,6188,5991,7653,7047,6277
Italy,1790,1932,2273,3023,3689,4092,4076,4595,7355,7041,7975,8731,9166,9436,10099,9608,9513,9742,9900,10459,9889,10508,10530,10706
Jamaica,878,1047,1242,1380,1601,1762,1924,2122,2157,1889,2026,2106,2168,2172,2269,2361,2433,2463,2502,2563,3067,3707,3688,3709
Japan,773,1250,1127,811,774,905,1177,1384,1732,1595,1684,2132,2540,2364,3734,3325,3830,4443,4369,4389,4888,5294,5384,5485
Jordan,1845,2011,2135,2201,2287,2421,2794,3326,3510,3465,3623,3684,3848,5343,6370,5348,4375,4432,4472,4564,4819,5072,4913,4940
Kazakhstan,68,85,111,42,57,62,84,143,126,198,226,180,283,341,401,294,384,560,618,506,374,310,481,440
Kenya,0,51,57,66,376,425,570,645,667,631,686,934,1211,1304,1441,1569,1745,1962,2720,2838,3108,3770,4060,4214
Kiribati,0,0,0,0,0,0,13,14,14,14,16,17,18,17,16,14,16,18,20,20,15,13,13,15
"Korea,Rep,",4524,4516,5135,5875,5935,5200,4850,5155,6978,6000,5854,6602,6589,6475,6574,6464,6524,6526,7125,7166,7435,7742,7825,7939
Kosovo,0,0,0,0,622,702,771,920,1047,1056,1007,993,946,1058,1099,971,986,1112,1236,1249,1436,1695,1613,1900
Kuwait,0,0,0,0,0,0,0,0,0,0,5,6,3,4,4,34,4,23,28,26,23,807,22,23
KyrgyzRepublic,2,5,30,70,179,313,473,704,1223,982,1266,1709,2031,2278,2243,1688,1995,2486,2689,2411,2423,2792,3225,2600
LaoPDR,1,1,1,1,1,1,4,6,18,38,42,110,203,170,188,189,189,243,240,297,232,221,198,225
Latvia,252,274,113,158,219,379,480,550,1920,1587,1257,1506,1499,1604,1553,1336,1235,1274,1237,1143,1088,1317,1294,1275
Lebanon,0,0,2544,4743,5591,4924,5202,5769,7181,7558,6914,6878,6671,7567,7191,7481,7606,7062,6978,7371,6593,6354,6435,6370
Lesotho,478,401,389,557,627,599,614,638,576,548,610,649,555,463,393,371,454,550,582,529,450,474,533,510
Liberia,0,0,0,0,58,32,79,62,58,25,294,523,547,413,512,654,580,403,460,346,336,531,690,800
Lithuania,50,79,109,115,578,745,994,1433,1565,1240,1673,1955,1507,2060,2113,1373,1280,1303,1387,1304,791,778,736,900
Luxembourg,579,577,771,977,1112,1189,1294,1479,1662,1676,1670,1811,1718,1922,1888,1675,1740,1908,2083,2099,2333,2425,2223,2230
"MacaoSAR,China",0,0,47,48,53,53,55,54,52,48,47,48,47,49,37,40,28,35,42,55,66,74,83,90
Madagascar,11,11,29,16,12,102,150,254,314,284,456,335,330,358,344,327,299,343,426,408,495,440,385,380
Malawi,1,1,1,14,18,23,15,21,17,17,22,25,28,34,38,41,39,79,181,281,232,259,259,260
Malaysia,342,367,435,571,802,1117,1365,1556,1329,1131,1103,1211,1294,1423,1580,1644,1604,1649,1686,1597,1427,1552,1620,1750
Maldives,2,2,2,2,3,2,3,8,6,5,3,3,3,3,3,4,4,4,4,4,5,5,5,5
Mali,73,88,138,154,156,177,212,344,433,456,473,785,827,895,921,817,827,885,1023,972,997,1131,1057,1154
Malta,17,13,21,26,319,222,209,229,264,260,230,227,200,246,253,274,251,270,277,245,259,269,226,233
MarshallIslands,0,0,0,0,0,24,26,25,23,24,22,22,23,25,26,27,28,30,31,32,33,34,8,30
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,60,64,169,13,109,60
Mauritius,0,1,1,1,1,1,1,1,1,1,1,1,1,1,327,224,194,250,245,319,285,272,274,279
Mexico,7525,10146,11029,16654,19862,22742,26543,26880,26041,22076,22080,23446,23209,23189,24802,26233,28691,32271,35768,39022,42878,54130,61100,67000
"Micronesia,Fed,Sts,",0,0,0,0,0,0,0,0,0,17,18,19,21,22,23,23,23,23,23,23,23,23,23,23
Moldova,178,242,323,484,701,915,1176,1491,1888,1352,1753,1813,1986,2192,2076,1540,1467,1638,1838,1910,1877,2119,2037,2030
