"Bilateral Remittance Estimates for 2021 using Migrant Stocks, Host Country Incomes, and Origin Country Incomes (millions of US$) (December 2022 Version)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remittance-receiving country (across)                                                              -                                                 Remittance-sending country (down) ,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faeroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe,WORLD
Antigua and Barbuda,,,,,,,,,,0,0,,,,,,,,,0,,1,,,,,,,,,,,,,0,,,,,,1,,,,,,,,,,,,,,3,11,,0,,,,,,0,,,,2,,,,,0,0,,,0,,,,,5,0,0,,,,0,,,,,,,0,11,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,1,,1,,0,,,,,,,,,,0,,,,,,,,,2,6,,,,,,,,,,,47
Ukraine,0,,,,,,,,82,,,,100,,,,,180,,,,,,,,,,,1,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,179,6,,,,,,,,,,,,,,,16,,,,,,79,,,,19,16,,,,,,,77,,66,11,,,,,30,,,,,,,,,,,,,,263,,,,5,,,,,,,,,,,,,,,,,,,,,,4,,,,,2940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,,,,,,0,,,,,,,,6,,,,,55,,1,,,,4316
Slovak Republic,0,0,0,,,0,,0,0,0,1,33,0,,,0,,0,29,0,0,,,0,1,0,0,,1,0,0,,0,0,0,0,,,,0,6,0,,0,,0,0,6,,,1,369,2,,0,0,0,2,0,,,0,0,0,,,1,43,,0,0,0,37,0,0,,0,,0,0,0,,0,0,,71,0,1,0,,0,0,,5,13,0,1,0,0,0,0,,2,,0,0,0,1,1,0,0,,,0,3,,0,0,0,0,0,0,,,0,1,,0,,0,0,0,0,0,0,0,2,,0,0,0,2,1,,4,0,1,,0,0,0,0,0,11,1,,0,20,3,0,0,,0,0,0,12,0,0,,,,2,0,0,0,,8,0,0,0,,,0,0,4,6,,0,0,1,,0,,0,0,0,,,,0,36,,8,7,0,,0,,12,,0,,0,0,779
Luxembourg,0,2,1,,,0,0,0,0,0,0,7,0,,,1,,0,599,,0,1,0,0,5,0,11,,1,0,0,14,0,1,1,,,,,0,24,2,0,2,,0,0,7,,,1,5,6,0,0,4,1,4,0,,,2,0,0,,0,3,750,,0,0,0,93,1,3,,0,,1,1,6,0,0,0,,9,2,23,0,,0,1,,5,79,0,4,0,0,1,,,4,8,0,0,0,3,4,0,0,,,2,,,1,0,0,0,0,1,,0,1,3,,2,,0,20,12,1,0,0,2,10,,0,0,0,6,1,,1,0,3,,0,0,0,2,7,8,232,,0,14,3,0,0,,0,0,5,12,0,0,,,6,4,,0,1,0,51,0,0,0,,0,0,0,16,6,,0,0,6,,1,0,0,4,0,,,,0,6,,4,7,0,,0,,4,,0,,0,0,2172
Cyprus,0,0,0,,,,,0,2,,4,2,0,,,5,,0,7,,0,,,0,0,0,0,,3,,0,,,1,1,,,,,0,7,0,,1,,0,,0,,,,3,1,0,,0,0,42,0,,,0,,0,,0,1,13,,,,46,14,0,16,,,,,,,,0,0,,2,0,14,0,,0,0,,8,1,0,1,3,0,1,,,0,,0,0,0,1,19,,,,,0,0,,0,0,0,,,0,,,0,0,,2,,,,0,0,0,0,0,1,,0,0,0,4,0,,1,0,7,,0,,0,0,39,1,0,,0,11,12,,,,,0,0,12,0,0,,,1,0,,0,5,,1,27,,,,,0,0,9,2,,0,0,2,,,,0,0,0,,,,0,10,,27,7,0,,,,0,,2,,0,1,407
Cayman Islands,,,,,,,,0,,,0,0,,,,,,,0,1,,3,,,,,0,,,,,,,,1,,,,,,,1,,,,1,,,,,,,0,,,0,,,,,,,,,,,0,1,,,,,1,,,,0,,,,,0,0,14,,,,3,,,,0,,0,0,37,0,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,0,,0,1,0,0,,,,,1,,1,,,0,12,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0,,0,,,,0,,,0,0,,,,0,,,,,,,,,2,7,,,,,,,,,0,0,92
Vietnam,,,,,,,,,,,0,,,,,20,,,,,,,,,,,,,,,,,1,,1,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,8,14,,,,,,,,12,,,,,,6,,,,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,6,,6,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,88,,,,,,,,,,,,,1,8,,,,,,,,,,,192
Malta,,0,0,,,,,0,0,,20,2,,,,0,,0,14,,,,,,1,,1,,1,,,,,,3,,,,,,5,,,,,,,1,,,1,1,2,,,,,12,,,,,,0,,,1,19,,,,0,16,1,0,,,,,,,,,,,2,,4,0,,0,0,,1,15,,1,1,,1,,,,,0,,,1,1,,,,,0,,,,,0,,,,,,,,,0,,,,2,,,,,3,,0,,0,13,0,,1,,3,,,,,0,8,1,0,,,4,3,,,,,0,,8,,,,,2,0,,6,1,,3,0,,,,,0,,14,1,,,,3,,,,0,2,0,,,,,3,,23,8,,,,,,,0,,,0,240
Bermuda,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,0,,,,,,,,,,,,0,,,2,,,,,,,,,,,,2,,,,,1,0,0,,,,,,,0,0,,,,,4,,,,0,,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,,,12,0,4,,,0,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,0,,,,,,,,0,,0,,,,,,,3,8,,,,,,,,,,,46
Nicaragua,0,,0,,,,0,0,,,,0,,,,,,,1,0,,,,0,,,0,,0,,,,,,0,,,,,0,1,1,,0,,40,,,,,,,0,,,0,0,,9,,,,,0,,,,2,,,,,2,,,,,,15,,,,0,60,,,,0,,,,0,,,1,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,1,,,,,0,,,,,,,2,,,0,,,,,,,0,,,,,,1,,,,,,,,,0,,,3,,,,,,,,0,0,,,,,,,,,,,,,,,0,,0,9,0,,,,,,,,,,153
Bulgaria,0,2,0,,,0,0,0,3,0,0,15,2,,,1,,1,82,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,,,,0,8,0,,0,,0,0,1,,,7,7,4,0,0,0,0,3,0,,,0,0,0,,,1,51,,0,0,1,85,0,5,,0,,0,0,0,0,0,0,,2,0,4,0,,0,0,,19,13,0,2,2,0,0,0,,1,2,0,1,0,1,7,,0,,,0,4,,0,0,0,0,0,1,0,0,0,1,,7,,0,0,0,0,,0,0,5,,0,0,0,4,5,,2,0,2,,0,0,0,0,1,3,1,,2,6,31,0,0,,0,0,0,18,0,0,,,2,1,,0,0,,45,0,,,,,0,0,5,3,,1,0,1,,0,0,0,0,4,,,,0,38,,10,9,0,,0,,3,,0,,0,0,552
Thailand,0,,,,,,,,,,2,,,,,4,,,,,,,,,,,,,,,,,637,,0,,,,,,325,,,0,,,0,,,,,,3,,,,,,,,,,,0,,,,20,,,,,13,,,,,,,,,,,,,,,40,1,,0,,,,2,,55,,,,,,3,,,,155,,,,0,,,,,,,,1,,,,,,,,,,,,,,,975,,30,2,,0,,,,,,3,,10,,,,,,7,,1,,,,,0,,,,0,,,,,,,,,,0,,,,20,,,,,0,,7,4,,,,,,0,,,,0,,,,,,,2,10,,,,,33,,0,,,0,2362
Qatar,0,,,,,,,,,,,,,,,1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1771,,,,,,1,,,,17,,,,,,,,,,,,,,,,,,,,4432,104,,,,,,,,,234,,,,,,,1,,,,71,,,,,,,,,,,,,,,,,,,,,,,6,,,,1099,1,,,,,65,,,,,1585,,,,,,1138,,,,,,,,,,,1,,,,,,,,,,3,,11,,487,,,,,21,,,,,,,21,,,,,3,1,,,,,,,5,10,,,,,,,7,,,,12120
Russian Federation,0,0,1,,,0,,0,990,,1,18,1005,,,1,,578,13,,0,,,0,1,0,1,,3,0,0,0,0,0,0,,,,,0,251,1,0,,,0,0,1,,,3,47,1,,,,1,8,,,,163,,0,,,6,37,,,,1340,765,1,1,,,,,0,0,,,,0,77,0,27,0,,0,0,,75,6,,7,5,184,3,,,13,,0,2018,0,297,7,,,,,86,1,,0,0,1,0,0,0,,,0,1,,554,,109,1,3,0,0,0,1,1,,0,0,0,9,0,,2,0,4,,0,,0,1,1,41,1,,1,8,,0,,,,0,0,,,,,,9,2,,0,0,,8,2,,,,,0,,5,3,,2307,0,2,,,,,1,2,1,,,0,9588,,1,11,0,9198,,,66,,1,,1,0,29992
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,10,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,0,,,,,,219,,,,0,45,0,,,3,,,,,,,,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,,,,,,,,,,,340
Kuwait,0,,,,,,,,,,,,,,,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3700,,,,,,2,,,,77,,,,,,,,,,,,,,,,,,,,6356,232,,,,,,,,,352,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,10,,,,89,3,,,,,64,,,,,1960,,,,,,1175,,,,19,,,,,,,2,,,,,,,,,,5,,7,,115,,,,,36,,,,,,,34,,,,,5,3,,,,,,,8,12,,,,,,,18,,,,15678
Argentina,0,0,0,,,0,,,1,0,0,6,,,,,,0,15,0,,,,617,,,93,,0,0,,0,0,,0,,,,,24,63,23,,,,0,0,4,,,0,8,1,,0,4,3,2,0,,,0,,0,,0,0,120,,,,,50,,1,,0,,1,0,,,0,0,0,4,0,0,0,,0,0,,12,480,0,29,0,,0,,,28,,,,0,0,5,,,,,0,3,,0,,0,,,0,,,,6,,1,,,,1,0,0,0,,1,,0,0,0,0,1,,0,,0,,1,,442,424,0,10,11,,,2,2,,,,,0,,,,,,,,4,,0,0,,564,0,,,,,0,0,2,3,,,0,0,,,,0,0,0,,,,0,13,,1,12,44,,0,,0,,,,0,0,3148
Bolivia,0,0,0,,,0,,38,0,0,0,1,0,,,0,,0,11,2,0,,,,0,,51,,0,,,0,,0,1,,,,,1,5,8,,0,,1,0,0,,,0,0,1,,0,1,3,0,0,,,0,,0,,,0,20,,,,0,12,0,0,,,,1,0,,0,0,1,0,0,0,0,0,,0,0,,4,5,0,12,0,0,0,,,2,,0,0,,,0,,0,,,0,0,,0,0,0,,0,0,,0,,44,,0,,0,0,0,0,,,0,1,,0,0,,0,0,,0,,0,,0,0,3,25,0,0,0,,0,0,0,0,,,,0,0,0,,0,,,0,0,0,0,0,,77,0,,,,,0,,3,3,,0,0,0,,0,,0,0,0,,,,,0,,1,13,0,,,,0,,0,,0,0,359
El Salvador,,,,,,,,0,,,0,0,,,,0,,,1,1,,,,0,,,0,,,,,,,,0,,,,,0,1,1,,,,3,,,,,,,,,,0,0,,,,,,,,,,,3,,,,,1,,,,,,74,,,,,58,0,,,0,,,,0,,1,1,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,0,,,18,,,,,,,,,2,,0,0,0,,0,,,,0,,,,,,,,,,,,,,,,,,3,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,13,0,,,,,,0,,,,192
Romania,0,1,0,,,0,0,0,0,0,1,22,0,,,1,,0,153,0,0,0,0,0,0,0,2,,5,0,0,0,0,0,0,0,,,,0,23,1,0,0,,0,0,1,,,7,4,10,0,0,2,1,6,1,,,0,0,0,,0,1,336,,0,1,1,187,2,5,,0,,1,0,0,0,0,1,,43,0,6,0,,0,1,,85,235,0,2,2,0,1,0,,1,0,0,0,0,1,4,0,0,,,0,9,,0,0,0,0,1,0,,0,0,3,,527,,0,0,4,0,0,0,4,5,,0,1,0,7,0,,0,0,3,,0,0,0,1,4,2,5,,3,,8,0,0,,0,0,1,11,0,0,,,3,1,,0,0,,344,3,,0,,0,0,0,12,6,,0,0,1,0,0,0,0,3,2,,,,0,124,,1,13,0,,,,4,,0,,0,0,2279
"Egypt, Arab Rep.",0,0,1,,,0,0,0,0,,1,4,0,,,1,,0,15,,0,,,,0,,0,,0,0,0,,,0,0,,,,,0,3,0,1,0,,,0,0,,,0,1,1,1,,,0,,1,,,0,,5,,,1,42,,,0,,42,1,1,,,,0,0,0,,,,,1,,5,5,,5,0,,15,13,,7,27,0,1,,,1,,0,0,,,19,,0,,,,,,0,0,2,0,0,,,0,,0,,0,,0,,3,0,0,0,,2,,0,,0,8,0,,0,1,3,,,,,,5,1,0,,11,0,7,0,,,,7,1,,0,0,,,0,,,16,0,24,2,1,,,,,29,,3,6,,1,0,8,,,,,2,0,,,,0,0,,2,14,,,,,,,114,,0,0,497
Finland,1,2,1,,,0,0,1,0,,2,4,0,,,12,,0,23,0,0,,0,0,1,0,5,,1,0,0,0,0,1,1,,,,,0,65,4,0,4,,0,0,2,,,1,2,6,0,0,2,1,15,0,,,134,0,1,,0,,46,,0,5,0,40,10,1,,0,,1,0,0,0,0,1,,12,1,51,2,,6,0,,17,11,0,10,2,0,14,,,3,,0,0,0,11,7,,0,,,2,3,,0,0,0,0,0,0,,0,0,6,,1,,0,0,10,0,1,0,15,5,,0,1,0,45,0,,7,0,22,,0,0,0,2,41,8,2,,1,10,17,1,0,,,0,1,2,0,0,,,2,1,0,19,1,0,20,4,0,0,,0,1,0,325,5,,0,1,98,0,0,0,0,2,2,,,,1,14,,5,14,0,,0,,54,,0,,1,0,1325
Jamaica,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,0,,3,,,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,1,,,,,,,,,4,15,,,,,,,,,,,31
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,8,,,,,8,,,,,,5,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,9,,,,,,,,,,,,,,,,,,,,,2,15,,,,,,,,,,,67
Honduras,,,,,,,,0,,,,,,,,,,,1,1,,,,0,,,0,,,,,,,,0,1,,,,0,3,2,,,,3,,,,,,,,,,1,1,,30,,,,,,,,,2,,,,,2,,,,,,38,,,,0,,,,,,,,,,,2,1,0,1,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,0,,,17,,,,,,,,,2,,0,1,,,,,,,0,,,,,,,,,,,,,,,,,,3,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,16,0,,,,,,0,,,,136
South Africa,0,0,0,,,1,,2,,,9,40,,,,40,,0,260,,0,5,,0,0,45,6,,2,,1,,,2,4,,,,,0,29,2,0,53,,,0,5,,,25,10,15,,,,,40,,,,0,118,13,,0,2,139,,0,,,89,31,7,,,,1,0,0,0,,,1,,0,124,3,,0,3,,111,88,1,14,0,,107,,,7,,0,0,0,2,7,477,1,,,1,1,,1,95,1,0,0,1,,,15,1,,,,,,3,254,0,33,0,25,,0,0,0,340,0,,5,0,55,,0,0,0,0,8,17,27,,,4,4,6,,,,1,10,21,0,0,,,3,,,46,,,10,3,0,,,,2,,3,10,,,17,8,,,,0,0,0,,,,8,12,,50,17,0,,,,1,,0,,23,957,4046
Portugal,,0,0,,,4,,1,0,,2,4,0,,,5,,1,107,,0,,,0,0,,307,,3,,,101,,0,5,,,,,0,54,2,,3,,,0,0,,,0,1,2,,,1,2,4,0,,,0,2,0,,,1,1519,,0,0,4,166,1,0,,,,0,4,63,,,,0,2,0,44,1,,0,0,,8,10,0,2,1,0,1,,,0,,,,,1,2,,0,,,1,124,0,0,1,0,,0,0,,0,,1,,43,,,0,7,89,,,20,11,,0,,,3,0,,1,,11,,0,,0,1,3,2,,,,53,6,,,,6,,9,1,,0,,,1,0,,,12,,103,0,,,,,,,9,81,,,0,13,9,0,,,0,0,,,,0,159,,16,18,0,,,,0,,,,,3,3263
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1299,,,,295,,,,,,,2,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,260,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,19,,,,,,,,,,,2079
Czech Republic,0,1,1,,,0,,0,4,,1,16,2,,,3,,6,20,0,0,,0,0,3,0,3,,9,0,0,0,0,0,1,,,,,0,39,2,0,0,,1,0,15,,,1,,2,0,0,1,1,12,0,,,1,0,0,,0,1,60,,0,0,5,80,3,1,,0,,0,0,0,0,0,0,0,45,0,35,1,,0,0,,29,18,0,13,2,1,1,,,9,5,0,5,0,2,3,0,0,,,1,1,0,0,0,0,0,0,0,,0,0,5,,13,,59,1,2,0,0,0,4,6,,0,0,0,12,2,,1,0,4,,0,0,0,1,18,26,2,,,39,41,0,0,,0,0,0,30,0,0,,,595,3,,0,0,0,11,0,0,0,,0,0,0,10,3,,1,0,12,,0,0,0,3,1,,,,0,602,,6,20,0,,0,,329,,0,,0,0,2332
Hungary,0,1,1,,,0,0,1,0,0,2,81,1,,,1,,0,75,0,0,0,0,0,1,0,3,,1,0,0,0,0,0,2,0,,,,0,77,1,0,0,,0,0,9,,,1,6,3,0,0,0,1,21,0,,,0,0,0,,0,2,70,,0,0,1,210,2,1,,0,,0,0,0,0,0,0,,,1,17,1,,0,1,,39,19,0,12,7,0,3,0,,11,1,0,1,0,1,4,0,0,,,0,9,,0,0,0,,0,1,,0,0,4,,1,,11,1,2,0,0,0,0,12,,0,0,0,19,0,,5,0,7,,0,0,0,1,4,5,2,,4,421,4,0,0,,0,0,0,223,0,0,,,108,2,,1,1,0,15,0,0,0,,0,0,0,19,18,,0,0,12,,0,0,0,2,1,,,,0,213,,13,21,0,,0,,36,,0,,0,0,1892
Guatemala,,,,,,,,0,,,0,,,,,,,,,2,,,,0,,,0,,,,,,,,0,,,,,0,3,3,,,,4,,,,,,,,,,1,1,0,70,,,,,,,,,4,,,,,4,,,,,,,,,,0,44,,,,,0,,,,,3,1,,1,,,,,,7,,,,,,0,,,,,,,,,,,,,,,,,77,,,,,,,,,,,0,,,21,,,,,,,0,,1,,0,1,0,,0,,,,,,,,,0,,,,,,,,,,,,,8,,,,,,,,0,1,,,,,,,,,,0,,,,,,,0,21,0,,,,,,0,,,,281
"Bahamas, The",,,,,,,0,0,,,0,0,,,,,,,1,0,,3,,,,0,0,,0,,,,,,1,0,,,,0,1,1,,,,0,,,,,,,0,,0,2,0,0,0,,,0,0,,,,,2,,,,,2,0,0,,0,,0,,,1,63,0,0,,,3,0,,,0,,,1,23,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,0,0,,2,,,0,,,,0,,,1,6,0,0,,,0,0,,,,,,,,,,,,,,,,0,,1,0,0,0,,0,,,0,1,,,,,,,,0,,,,,,0,0,,2,24,0,,,,,,,,,0,146
Libya,0,0,3,,,,,,0,,1,5,,,,4,,1,20,,,,,,0,,1,,,,,,,,2,,,,,,14,,5,0,,,0,,,,,,4,4,,,,171,3,,,,,1,,,2,78,,,,,40,3,2,,,,,,1,,,,,2,,23,26,,19,,,,22,,7,120,0,2,,,3,,1,,,,76,,,,,,,,,,6,,0,,,1,,,,,,,,15,,,,,5,,,,1,32,,,1,3,12,,,,,,24,1,,,42,1,7,,,,,31,4,,,0,,,,,,109,1,4,4,1,,,,,8,,8,4,,3,0,23,,,,,7,1,,,,,3,,6,24,,,,,,,282,,,,1339
"Venezuela, RB",,0,0,,,0,,8,0,0,0,5,,,,,,,10,0,,,,2,0,,10,,0,,,,,,1,,,,,2,55,2350,,,,4,,2,,,0,1,1,,,81,107,1,3,,,0,,0,,,0,53,,,,0,21,0,0,,0,,3,,,7,2,1,0,4,,1,0,,0,0,,9,150,0,2,1,,,,,1,,0,,,0,41,,,,,0,,,,,0,,,,,,,15,,,,,1,2,0,,,,2,,0,4,,1,,,0,,0,,3,,0,88,1,1,117,,,2,1,,,,,1,0,4,,,,,0,0,,,0,,400,,,0,,0,,0,1,3,,,,0,,,,2,0,0,,,,,1,,1,24,1,,,,0,,0,,,0,3620
Indonesia,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,128,64,,,,,115,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,18,,,,,,,,,,35,,,,,,19,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,170,87,,,,,,,,,,,,24,29,,,,,,,,,,,1083
Austria,3,7,1,,,0,0,2,7,0,4,,2,,,11,,2,88,0,0,1,0,1,256,0,15,,17,0,0,0,1,1,2,0,,,,0,93,8,0,2,,1,0,253,,,2,150,7,0,0,22,4,136,1,,,2,0,1,,0,5,146,,0,3,12,1357,13,5,,0,,5,0,0,0,0,1,0,408,1,92,3,,4,0,,51,116,1,19,7,0,11,,,9,119,0,4,0,7,16,0,0,,,2,39,0,1,0,1,0,0,0,,0,0,13,,9,,12,12,9,0,0,0,3,25,,0,1,0,109,28,,3,0,35,0,0,0,0,5,81,113,8,,2,294,34,0,0,,0,1,2,743,0,0,,,245,116,0,11,3,,52,3,0,0,,0,1,0,31,70,,4,1,55,0,1,0,0,11,33,,,,1,53,,10,30,0,,0,,20,,1,,0,1,5860
"Hong Kong SAR, China",,,,,,,,,,,15,,,,,2,,,,,,,,,,,,,,,,,,,10,,,,,,11931,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,11,,,,,,,,,,,,,,,109,313,,,0,,,2,,100,,,,,,18,,,,,,,,,,,,,10,,,13,,,,,,,,,,,,,,,,,38,3,,0,,,,,,,,48,,,,,,767,,0,,,,0,,,,,,,,,,,,,,,,,,3,2,,,,,,,,3,,,,171,,,,,,,,,,,,,14,32,,,,,64,,,,,,13712
Dominican Republic,,,,,,,0,1,,0,0,1,,,,,,,7,,,1,0,0,0,,1,,0,,0,0,0,0,1,,,,,0,17,8,,,,1,,,,,,0,0,,0,,2,,1,,,,,,,,0,59,,,,,10,,0,,,,4,,,0,912,2,,0,,0,,,0,0,,1,14,0,2,,0,,,,2,,,,,,1,,,,,,,,,,0,,,0,,,,6,,0,,,,0,,,,,2,,0,1,,0,0,,0,,0,,3,,0,3,0,0,0,,,0,0,,,,,0,,0,,,,,,,,,0,,41,,0,,,,,0,1,5,,,,,,,,0,,0,,,,,0,,1,34,0,,,,,,0,,,,1151
Denmark,1,1,1,,,0,0,4,2,,5,13,1,,,8,,1,73,0,0,,1,1,25,0,11,,6,0,0,0,0,1,2,,,,,0,75,12,0,3,,1,0,14,,,1,9,,0,0,2,3,18,1,,,4,0,1,,0,11,131,,0,3,1,214,14,3,,0,,3,0,0,0,0,1,,30,40,94,3,,7,1,,39,36,1,13,9,0,16,0,,31,8,0,0,0,20,103,0,0,,,18,19,,0,0,1,0,0,0,,0,0,9,,4,,0,2,21,0,1,0,19,21,,0,1,0,25,4,,72,0,86,,1,0,0,3,72,67,9,,5,73,6,1,0,,0,0,1,10,0,1,,,18,2,0,18,3,0,56,24,0,0,,0,1,0,246,14,,0,3,124,0,0,0,0,3,7,,,,5,45,,17,34,0,,0,,59,,,,1,1,2368
